"";"X-feat";"Y-feat";"CorrValue"
"7432";"g.CCNA2";"p.CCNB1";0,724767297190104
"7514";"g.GO:0016032";"p.CCNB1";0,705468661005477
"27622";"g.ZNF552";"p.GO:0007165";0,693377519646914
"31033";"g.KDM4B";"p.GO:0045944";0,685335268200732
"31042";"g.ZNF552";"p.GO:0045944";0,683245038912993
"8917";"g.KDM4B";"p.ESR1";0,681621205728704
"8926";"g.ZNF552";"p.ESR1";0,680124658398187
"27613";"g.KDM4B";"p.GO:0007165";0,679800003777731
"7320";"g.ASPM";"p.CCNB1";0,677286584792725
"27816";"g.GO:0046777";"p.GO:0007165";-0,675252605097679
"2416";"g.CCNA2";"p.ASNS";0,674497125214858
"27689";"g.SLC43A3";"p.GO:0007165";-0,672635170325329
"2498";"g.GO:0016032";"p.ASNS";0,672153666821407
"7424";"g.E2F1";"p.CCNB1";0,668469983573898
"9057";"g.PREX1";"p.ESR1";0,664127177573938
"31173";"g.PREX1";"p.GO:0045944";0,663773436114747
"26473";"g.KDM4B";"p.GO:0006366";0,660791027219595
"27753";"g.PREX1";"p.GO:0007165";0,660613851896619
"26482";"g.ZNF552";"p.GO:0006366";0,652736776884886
"25114";"g.ZNF552";"p.GO:0000122";0,650725480773803
"27704";"g.FMNL2";"p.GO:0007165";-0,650180763774775
"7888";"g.CCNA2";"p.CCNE1";0,647296984872843
"25105";"g.KDM4B";"p.GO:0000122";0,646536705850294
"27724";"g.CCNA2";"p.GO:0007165";-0,645943305039642
"27691";"g.TTC39A";"p.GO:0007165";0,644260436873111
"7970";"g.GO:0016032";"p.CCNE1";0,64023623240856
"27649";"g.C4orf34";"p.GO:0007165";0,639946475515601
"31124";"g.FMNL2";"p.GO:0045944";-0,638405266444195
"2381";"g.SLC43A3";"p.ASNS";0,63712100862861
"9008";"g.FMNL2";"p.ESR1";-0,635820467322531
"26613";"g.PREX1";"p.GO:0006366";0,635795331549937
"2508";"g.GO:0046777";"p.ASNS";0,635370459726682
"5734";"g.ZNF552";"p.CDK1";-0,633376435757946
"27815";"g.GO:0045944";"p.GO:0007165";-0,633297028532706
"2304";"g.ASPM";"p.ASNS";0,632843368928607
"27808";"g.GO:0018108";"p.GO:0007165";-0,632276221041716
"27806";"g.GO:0016032";"p.GO:0007165";-0,631526453893965
"27741";"g.LMO4";"p.GO:0007165";-0,628682113533702
"5836";"g.CCNA2";"p.CDK1";0,627198221041944
"15757";"g.KDM4B";"p.PRKCD";-0,624440946743744
"25245";"g.PREX1";"p.GO:0000122";0,624180698665611
"4357";"g.KDM4B";"p.BECN1";-0,623519723742031
"31111";"g.TTC39A";"p.GO:0045944";0,623235125685109
"31109";"g.SLC43A3";"p.GO:0045944";-0,622696097290507
"7437";"g.NCAPG2";"p.CCNB1";0,620656044094712
"8995";"g.TTC39A";"p.ESR1";0,619952230037374
"27612";"g.ASPM";"p.GO:0007165";-0,619415607285446
"2314";"g.ZNF552";"p.ASNS";-0,618638974298899
"27650";"g.LRIG1";"p.GO:0007165";0,617341833766878
"25181";"g.SLC43A3";"p.GO:0000122";-0,615528083620751
"5801";"g.SLC43A3";"p.CDK1";0,615466697008521
"27630";"g.FUT8";"p.GO:0007165";0,615349734551848
"7337";"g.ASF1B";"p.CCNB1";0,614749346247014
"7853";"g.SLC43A3";"p.CCNE1";0,614082983538459
"14592";"g.GO:0046777";"p.CDH3";0,612901722331184
"8993";"g.SLC43A3";"p.ESR1";-0,612710019037755
"8986";"g.CSRP2";"p.ESR1";-0,612647063221398
"31070";"g.LRIG1";"p.GO:0045944";0,611289011344118
"8954";"g.LRIG1";"p.ESR1";0,611248418702153
"31235";"g.GO:0045944";"p.GO:0045944";-0,610172739595108
"7397";"g.SLC43A3";"p.CCNB1";0,609907782133484
"7776";"g.ASPM";"p.CCNE1";0,60970711758505
"4366";"g.ZNF552";"p.BECN1";-0,609608540916412
"9119";"g.GO:0045944";"p.ESR1";-0,609251568399993
"26564";"g.FMNL2";"p.GO:0006366";-0,608796172136799
"25196";"g.FMNL2";"p.GO:0000122";-0,608745984743186
"14389";"g.KDM4B";"p.CDH3";-0,608363065183133
"5865";"g.PREX1";"p.CDK1";-0,60792329390071
"6156";"g.GO:0046777";"p.CASP7";0,607897607493364
"2500";"g.GO:0018108";"p.ASNS";0,607255877162176
"31102";"g.CSRP2";"p.GO:0045944";-0,60699692152487
"5724";"g.ASPM";"p.CDK1";0,606790256259932
"1621";"g.KDM4B";"p.ANLN";-0,606597740825455
"27684";"g.LYN";"p.GO:0007165";-0,606495169438289
"1630";"g.ZNF552";"p.ANLN";-0,606303951295948
"8965";"g.STC2";"p.ESR1";0,606240880790009
"5725";"g.KDM4B";"p.CDK1";-0,606031137939744
"15529";"g.KDM4B";"p.PRKCA";-0,605397638560861
